date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:44	14328/14328	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Apr%202024%2017:22:44%20GMT	https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191.html	(from )
12:22:45	3089/3089	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Apr%202024%2017:22:44%20GMT	https://cw.acm.ovh/robots.txt		(from )
12:22:45	46552/46552	---M--	200	added ('OK')	font/woff2	etag:%22691137e253c7d0ef9d54c2c1411ef326-ssl%22	https://cw.acm.ovh/_next/static/media/c9a5bc6a7c948fb0-s.p.woff2	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/media/c9a5bc6a7c948fb0-s.p.woff2	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:46	22716/22716	---MCZ	200	added ('OK')	text/css	etag:%22cb4c71bdb13f63679b0b05927e1eba79-ssl-df%22	https://cw.acm.ovh/_next/static/css/ac428ca6dce7559e.css	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/css/ac428ca6dce7559e.css	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:47	22521/22521	---MCZ	200	added ('OK')	text/css	etag:%228293bdfded83778593e5a2b8bb3462c6-ssl-df%22	https://cw.acm.ovh/_next/static/css/34e89d1fc23ab8bb.css	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/css/34e89d1fc23ab8bb.css	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:47	3614/3614	---MCZ	200	added ('OK')	application/javascript	etag:%22b465e1715259d68b099b181c3902ba67-ssl-df%22	https://cw.acm.ovh/_next/static/chunks/webpack-29b865efd5ed11ef.js	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/chunks/webpack-29b865efd5ed11ef.js	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:48	172189/172189	---MCZ	200	added ('OK')	application/javascript	etag:%2201e59f2ea85693211e1c7f212f846762-ssl-df%22	https://cw.acm.ovh/_next/static/chunks/817ad8d0-bac4ea800d51fc36.js	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/chunks/817ad8d0-bac4ea800d51fc36.js	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:49	112574/112574	---MCZ	200	added ('OK')	application/javascript	etag:%22867374a4ffdb581a0b76bdf2a4a653a4-ssl-df%22	https://cw.acm.ovh/_next/static/chunks/89-ba6fde845f8db6ac.js	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/chunks/89-ba6fde845f8db6ac.js	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:49	461/461	---M--	200	added ('OK')	application/javascript	etag:%222394dd9dfe9332f7d70467316ee11202-ssl%22	https://cw.acm.ovh/_next/static/chunks/main-app-d1c3ac30d6059c31.js	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/chunks/main-app-d1c3ac30d6059c31.js	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:50	13776/13776	---MCZ	200	added ('OK')	application/javascript	etag:%2279c6b245de94015a57a8343aa6aae690-ssl-df%22	https://cw.acm.ovh/_next/static/chunks/564-000c071a774a9a83.js	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/chunks/564-000c071a774a9a83.js	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:50	512/512	---M--	200	added ('OK')	application/javascript	etag:%22de1ec1dd1702a3d18311bf9318910bde-ssl%22	https://cw.acm.ovh/_next/static/chunks/app/%5Bslug%5D/page-abc8dc7541521a95.js	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/chunks/app/[slug]/page-abc8dc7541521a95.js	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:51	271542/271542	---MCZ	200	added ('OK')	image/x-icon	date:Tue,%2016%20Apr%202024%2017:22:51%20GMT	https://cw.acm.ovh/favicon.ico	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/favicon.ico	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:52	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:%22a71b61054f62d156643ddbd7e8d59e28-ssl-df%22	https://cw.acm.ovh/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:52	69/69	---MC-	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2016%20Apr%202024%2017:22:52%20GMT	https://cw.acm.ovh/_next/image?url=%2Facm.png&w=256&q=75	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/image.cbed2.delayed	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:53	8903/8903	---M--	200	added ('OK')	image/png	etag:%2222c7-MoL7PEtcqryzIFl8SNAntBm+iD8%22	https://cw.acm.ovh/_ipx/w_256,q_75/%2Facm.png?url=%2Facm.png&w=256&q=75	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_ipx/w_256,q_75/acmbed2.png	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
12:22:53	199/199	---MC-	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2016%20Apr%202024%2017:22:53%20GMT	https://cw.acm.ovh/_next/image?url=https%3A%2F%2Facmud.acm.org%2Fcoworking-public%2Fstudents%2F20192025031.jpg&w=256&q=75	C:/My%20Web%20Sites/COWORKING/cw.acm.ovh/_next/image.e16d8.delayed	(from https://cw.acm.ovh/100b9fd4-03f9-4d83-865a-7242251e3191)
